id, name, active
3,3D & Animation,1
4,Accounting & Bookkeeping,1
5,Advertising,1
6,Affiliate Marketing,1
7,Apple,1
8,Architectural Design,1
9,Arts & Crafts,1
10,Beauty & Makeup,1
11,Branding,1
12,Business Analytics & Intelligence,1
13,Business Law,1
14,Business Strategy,1
15,Career Development,1
16,Commercial Photography,1
17,Communications,1
18,Compliance,1
19,Content Marketing,1
20,Creativity,1
21,Cryptocurrency & Blockchain,1
22,Dance,1
23,Data Science,1
24,Database Design & Development,1
25,Design Thinking,1
26,Design Tools,1
27,Development Tools,1
28,Dieting,1
29,Digital Marketing,1
30,Digital Photography,1
31,E-Commerce,1
32,Economics,1
33,Engineering,1
34,EntrepreneurshipEsoteric Practices,1
35,Essential Tech Skills,1
36,Fashion Design,1
37,Finance,1
38,Finance Cert & Exam Prep,1
39,Financial Modeling & Analysis,1
40,Fitness,1
41,Food & Beverage,1
42,Game Design,1
43,Game Development,1
44,Gaming,1
45,General Health,1
46,Google,1
47,Graphic Design & Illustration,1
48,Growth Hacking,1
49,Happiness,1
50,Hardware,1
51,Home Improvement,1
52,Human Resources,1
53,Humanities,1
54,Industry,1
55,Influence,1
56,Instruments,1
57,Interior Design,1
58,Investing & Trading,1
59,IT Certification,1
60,Language,1
61,Leadership,1
62,Management,1
63,Marketing Analytics & Automation,1
64,Marketing Fundamentals,1
65,Math,1
66,Media,1
67,Meditation,1
68,Memory & Study Skills,1
69,Mental Health,1
70,Microsoft,1
71,Mobile Development,1
72,Money Management Tools,1
73,Motivation,1
74,Music Fundamentals,1
75,Music Production,1
76,Music Software,1
77,Music Techniques,1
78,Network & Security,1
79,No-Code Development,1
80,Nutrition,1
81,Online Education,1
82,Operating Systems,1
83,Operations,1
84,Oracle,1
85,Other Business,1
86,Other Design,1
87,Other Finance & Accounting,1
88,Other Health & Fitness,1
89,Other IT & Software,1
90,Other Lifestyle,1
91,Other Marketing,1
92,Other Music,1
93,Other Office Productivity,1
94,Other Personal Development,1
95,Other Photography & Video,1
96,Other Teaching & Academics,1
97,Parenting & Relationships,1
98,Personal Brand Building,1
99,Personal Growth & Wellness,1
100,Personal Productivity,1
101,Personal Transformation,1
102,Pet Care & Training,1
103,Photography,1
104,Photography Tools,1
105,Portrait Photography,1
106,Product Marketing,1
107,Productivity & Professional Skills,1
108,Programming Languages,1
109,Project Management,1
110,Public Relations,1
111,Real Estate,1
112,Religion & Spirituality,1
113,Safety & First Aid,1
114,Sales,1
115,SAP,1
116,Science,1
117,Search Engine Optimization,1
118,Self Defense,1
119,Self Esteem & Confidence,1
120,Social Media Marketing,1
121,Social Science,1
122,Software Engineering,1
123,Software Testing,1
124,Sports,1
125,Stress Management,1
126,Taxes,1
127,Teacher Training,1
128,Test Prep,1
129,Travel,1
130,User Experience Design,1
131,Video & Mobile Marketing,1
132,Video Design,1
133,Vocal,1
134,Vodafone,1
135,Web Design,1
136,Web Development,1
137,Yoga,1
